index,model,alpha,MAE,RMSE,observed_rate,kupiec_p,christoffersen_p,basel_zone
Tunindex,ARIMA,0.05,0.31347683626398803,0.44194600570943454,0.025157232704402517,0.11331387321094488,0.05653586772825836,green
Tunindex,ARIMA,0.01,0.31347683626398803,0.44194600570943454,0.006289308176100629,0.6137566573318469,0.8748176748778436,green
Tunindex,SARIMA,0.05,0.31875657830737947,0.45828859067692485,0.018867924528301886,0.040112654492897026,0.11479300477562415,green
Tunindex,SARIMA,0.01,0.31875657830737947,0.45828859067692485,0.006289308176100629,0.6137566573318469,0.8748176748778436,green
Tunindex,GARCH,0.05,0.3116633523006357,0.44053084974335294,0.031446540880503145,0.25060968090741054,0.43894609074629665,green
Tunindex,GARCH,0.01,0.3116633523006357,0.44053084974335294,0.012578616352201259,0.7533693148716483,0.9277411884337637,green
Tunindex,RF,0.05,0.34976316682463227,0.5399410227010808,0.22012578616352202,1.3244960683778118e-13,7.538414337204813e-14,red
Tunindex,RF,0.01,0.34976316682463227,0.5399410227010808,0.06289308176100629,6.23533108068397e-06,3.320919753346807e-05,red
Tunindex,XGB,0.05,0.3376145885479373,0.5223730184315734,0.06918238993710692,0.29297103390509016,0.5536700510470689,yellow
Tunindex,XGB,0.01,0.3376145885479373,0.5223730184315734,0.018867924528301886,0.3168421215646957,0.571759439170218,yellow
Tunindex,ANN,0.05,0.30886242876303055,0.4383023283662699,0.025157232704402517,0.11331387321094488,0.05653586772825836,green
Tunindex,ANN,0.01,0.30886242876303055,0.4383023283662699,0.006289308176100629,0.6137566573318469,0.8748176748778436,green
Tunindex,LSTM,0.05,0.3130307570892512,0.4419671225847718,0.025157232704402517,0.11331387321094488,0.05653586772825836,green
Tunindex,LSTM,0.01,0.3130307570892512,0.4419671225847718,0.006289308176100629,0.6137566573318469,0.8748176748778436,green
ADI,ARIMA,0.05,0.7087778058926405,0.9763834743947531,0.01764705882352941,0.026295345718111096,0.08173412572252625,green
ADI,ARIMA,0.01,0.7087778058926405,0.9763834743947531,0.0058823529411764705,0.5588778162444357,0.8379658888255735,green
ADI,SARIMA,0.05,0.7072588796945745,0.975861983502593,0.01764705882352941,0.026295345718111096,0.08173412572252625,green
ADI,SARIMA,0.01,0.7072588796945745,0.975861983502593,0.0058823529411764705,0.5588778162444357,0.8379658888255735,green
ADI,GARCH,0.05,0.6821852849982495,0.9497259458303977,0.058823529411764705,0.6071446813263115,0.46695470932233574,green
ADI,GARCH,0.01,0.6821852849982495,0.9497259458303977,0.011764705882352941,0.82200383244728,0.9519354357448907,green
ADI,RF,0.05,0.6945442163101267,0.9756941645938757,0.21764705882352942,3.941291737419306e-14,2.59015031645049e-13,red
ADI,RF,0.01,0.6945442163101267,0.9756941645938757,0.03529411764705882,0.009946876595044674,0.012700834419515528,yellow
ADI,XGB,0.05,0.6655699597372784,0.9064186498661436,0.052941176470588235,0.8615833884135995,0.7135363046678304,green
ADI,XGB,0.01,0.6655699597372784,0.9064186498661436,0.0058823529411764705,0.5588778162444357,0.8379658888255735,green
